"","year_month","x"
"1","2004/01",272174881
"2","2004/02",265825116
"3","2004/03",594868077
"4","2004/04",662826926
"5","2004/05",1501383702
"6","2004/06",2183533156
"7","2004/07",1650109222
"8","2004/08",4787346870
"9","2004/09",7113768512
"10","2004/10",8217698450
"11","2004/11",12759265265
"12","2004/12",14485640767
"13","2005/01",7489656242
"14","2005/02",8618320084
"15","2005/03",10794587367
"16","2005/04",11614657501
"17","2005/05",17237172201
"18","2005/06",20011266170
"19","2005/07",11596671566
"20","2005/08",14089280074
"21","2005/09",12201582819
"22","2005/10",15557469040
"23","2005/11",16823620775
"24","2005/12",20524616755
"25","2006/01",14730371793
"26","2006/02",16291785099
"27","2006/03",17243048900
"28","2006/04",12853227620
"29","2006/05",19668222776
"30","2006/06",21909475484
"31","2006/07",17240728489
"32","2006/08",22463056611
"33","2006/09",20099506502
"34","2006/10",19925710037
"35","2006/11",22805348246
"36","2006/12",18929845039
"37","2007/01",32621147450
"38","2007/02",24829542143
"39","2007/03",23788641741
"40","2007/04",17422619933
"41","2007/05",28575273270
"42","2007/06",28081195452
"43","2007/07",20642074335
"44","2007/08",23192007287
"45","2007/09",28297307559
"46","2007/10",28475648901
"47","2007/11",36225709316
"48","2007/12",32663194781
"49","2008/01",35738308230
"50","2008/02",31458319766
"51","2008/03",34353457876
"52","2008/04",33070836607
"53","2008/05",44990774766
"54","2008/06",43922931007
"55","2008/07",48913495914
"56","2008/08",36233277138
"57","2008/09",38059628833
"58","2008/10",38628435344
"59","2008/11",55137493947
"60","2008/12",58370088427
"61","2009/01",35321964718
"62","2009/02",46031675041
"63","2009/03",45374436586
"64","2009/04",35160244662
"65","2009/05",39001542551
"66","2009/06",39112624730
"67","2009/07",36802335748
"68","2009/08",123268151750
"69","2009/09",68054630398
"70","2009/10",55897806481
"71","2009/11",52859631196
"72","2009/12",54713416709
"73","2010/01",44724994351
"74","2010/02",50707501778
"75","2010/03",61265349417
"76","2010/04",45721306161
"77","2010/05",49177727966
"78","2010/06",67019017720
"79","2010/07",56024634561
"80","2010/08",47462657749
"81","2010/09",46082522102
"82","2010/10",49251472034
"83","2010/11",51336894784
"84","2010/12",58152369325
"85","2011/01",35060429097
"86","2011/02",37693931716
"87","2011/03",49414569746
"88","2011/04",50483860805
"89","2011/05",52089165609
"90","2011/06",75869005819
"91","2011/07",46184731717
"92","2011/08",87994401016
"93","2011/09",73353507888
"94","2011/10",55096607269
"95","2011/11",56675757336
"96","2011/12",47607155700
"97","2012/01",52362022985.26
"98","2012/02",51115238687.29
"99","2012/03",89652056453.44
"100","2012/04",57821089562.28
"101","2012/05",67936769595.397
"102","2012/06",76903697498.905
"103","2012/07",60918805371.976
"104","2012/08",84000584662.96
"105","2012/09",53097421128.76
"106","2012/10",55703523167.84
"107","2012/11",88225544820.44
"108","2012/12",44472554507.86
"109","2013/01",70057997082.6
"110","2013/02",59210107048.92
"111","2013/03",57653134365.11
"112","2013/04",85624020172.14
"113","2013/05",58861546398.31
"114","2013/06",53577308180.16
"115","2013/07",67341759017.79
"116","2013/08",58902970923.95
"117","2013/09",69180811989.142
"118","2013/10",71448555175.76
"119","2013/11",60568172707.829
"120","2013/12",60874454056.825
