"","Date","Freq"
"1","2004/01",237
"2","2004/02",294
"3","2004/03",350
"4","2004/04",509
"5","2004/05",878
"6","2004/06",1006
"7","2004/07",813
"8","2004/08",676
"9","2004/09",723
"10","2004/10",903
"11","2004/11",1124
"12","2004/12",1230
"13","2005/01",806
"14","2005/02",757
"15","2005/03",1069
"16","2005/04",1076
"17","2005/05",1307
"18","2005/06",1182
"19","2005/07",944
"20","2005/08",1078
"21","2005/09",1036
"22","2005/10",1165
"23","2005/11",1311
"24","2005/12",1350
"25","2006/01",1160
"26","2006/02",1080
"27","2006/03",1200
"28","2006/04",1163
"29","2006/05",1388
"30","2006/06",1557
"31","2006/07",1365
"32","2006/08",1493
"33","2006/09",1301
"34","2006/10",1626
"35","2006/11",1616
"36","2006/12",1349
"37","2007/01",1532
"38","2007/02",1396
"39","2007/03",1495
"40","2007/04",1250
"41","2007/05",1570
"42","2007/06",1627
"43","2007/07",1415
"44","2007/08",1501
"45","2007/09",1549
"46","2007/10",1933
"47","2007/11",2117
"48","2007/12",1472
"49","2008/01",2143
"50","2008/02",1954
"51","2008/03",1978
"52","2008/04",2072
"53","2008/05",2447
"54","2008/06",2421
"55","2008/07",3062
"56","2008/08",2896
"57","2008/09",2849
"58","2008/10",3526
"59","2008/11",3492
"60","2008/12",3963
"61","2009/01",4043
"62","2009/02",3768
"63","2009/03",4974
"64","2009/04",4201
"65","2009/05",3702
"66","2009/06",4770
"67","2009/07",4896
"68","2009/08",3941
"69","2009/09",3954
"70","2009/10",5100
"71","2009/11",5846
"72","2009/12",7418
"73","2010/01",4670
"74","2010/02",5437
"75","2010/03",6470
"76","2010/04",5421
"77","2010/05",5173
"78","2010/06",6025
"79","2010/07",6006
"80","2010/08",5794
"81","2010/09",5015
"82","2010/10",5896
"83","2010/11",6810
"84","2010/12",7605
"85","2011/01",4407
"86","2011/02",4529
"87","2011/03",6026
"88","2011/04",5410
"89","2011/05",5202
"90","2011/06",6098
"91","2011/07",4888
"92","2011/08",4898
"93","2011/09",4399
"94","2011/10",4893
"95","2011/11",5344
"96","2011/12",4950
"97","2012/01",5175
"98","2012/02",4915
"99","2012/03",5376
"100","2012/04",3539
"101","2012/05",4746
"102","2012/06",4428
"103","2012/07",4360
"104","2012/08",4431
"105","2012/09",3446
"106","2012/10",4690
"107","2012/11",6203
"108","2012/12",4633
"109","2013/01",6501
"110","2013/02",4407
"111","2013/03",4643
"112","2013/04",4553
"113","2013/05",4867
"114","2013/06",5410
"115","2013/07",4566
"116","2013/08",3996
"117","2013/09",3685
"118","2013/10",5589
"119","2013/11",5784
"120","2013/12",7391
